,youtuber,vedio_id,link,vedio_title,description,post_time,views
0, YASH Tv ,Jf2ewD99_IE,https://www.youtube.com/watch?v=Jf2ewD99_IE,Rakesh Jhunjhunwala Penny Stocks 2020 | Multibagger Stock Portfolio of Rakesh Jhunjhunwala  YASH Tv,"Rakesh Jhunjhunwala Penny Stocks 2020 | Multibagger Stock Portfolio of Rakesh Jhunjhunwala  YASH Tv by YASH Tv 4 months ago 7 minutes, 49 seconds 721,248 views",4 months,"721,248"
1, Fantastic Nifty ,_KVo2dy7134,https://www.youtube.com/watch?v=_KVo2dy7134,Best Penny Stocks 2020 below 10 rs | Best Penny Shares To Buy now | top multibagger penny stocks,"Best Penny Stocks 2020 below 10 rs | Best Penny Shares To Buy now | top multibagger penny stocks by Fantastic Nifty 2 months ago 10 minutes, 12 seconds 219,026 views",2 months,"219,026"
2, ZipTrader ,1rV1bArnUCU,https://www.youtube.com/watch?v=1rV1bArnUCU,7 Top Penny Stocks To Buy 🔥| June 2020,"7 Top Penny Stocks To Buy 🔥| June 2020 by ZipTrader 1 month ago 13 minutes, 20 seconds 213,282 views",1 month,"213,282"
3, Stock Market का Commando ,CbVACWy6uOQ,https://www.youtube.com/watch?v=CbVACWy6uOQ,ये 6 रूपये का शेअर बनायेगा आपको करोड़पती l Multibagger Penny STOCKs share in Hindi by SMkC,"ये 6 रूपये का शेअर बनायेगा आपको करोड़पती l Multibagger Penny STOCKs share in Hindi by SMkC by Stock Market का Commando 6 months ago 13 minutes, 9 seconds 196,616 views",6 months,"196,616"
4, Fantastic Nifty ,p8EkLBRiROY,https://www.youtube.com/watch?v=p8EkLBRiROY,Best Penny Stock in India to buy now | Penny shares for long term | top multibagger penny stocks,"Best Penny Stock in India to buy now | Penny shares for long term | top multibagger penny stocks by Fantastic Nifty 1 month ago 10 minutes, 7 seconds 196,372 views",1 month,"196,372"
5, INVEST MISSION ,d_axQuyYMcQ,https://www.youtube.com/watch?v=d_axQuyYMcQ,Top 5 Debt Free Penny Stock | Multibagger Penny stock | Best penny stocks for 2020 in india,"Top 5 Debt Free Penny Stock | Multibagger Penny stock | Best penny stocks for 2020 in india by INVEST MISSION 1 month ago 12 minutes, 18 seconds 179,875 views",1 month,"179,875"
6, ArjunRawat StartInvestment ,kiJDTj8or2U,https://www.youtube.com/watch?v=kiJDTj8or2U,₹3 से ₹5 वाले शेयर Penny Stocks – for 2020 | मालामाल कर देंगे | Best Penny Share To Buy in 2020,"₹3 से ₹5 वाले शेयर Penny Stocks – for 2020 | मालामाल कर देंगे | Best Penny Share To Buy in 2020 by ArjunRawat StartInvestment 2 months ago 15 minutes 170,388 views",2 months,"170,388"
7, Stock ,HCGWMAb-qWs,https://www.youtube.com/watch?v=HCGWMAb-qWs,Best Penny stocks to buy | कौड़ियों के भाव |  best penny stocks  | Top shares to buy in 2020,"Best Penny stocks to buy | कौड़ियों के भाव |  best penny stocks  | Top shares to buy in 2020 by Stock 4 Retail 3 months ago 12 minutes, 8 seconds 163,163 views",3 months,"163,163"
8, Humbled Trader ,vJ5AgtHNnCY,https://www.youtube.com/watch?v=vJ5AgtHNnCY,How to find & buy Penny Stock Runners 2020? Reverse Split Strategy (step by step $VIVE),"How to find & buy Penny Stock Runners 2020? Reverse Split Strategy (step by step $VIVE) by Humbled Trader 8 months ago 14 minutes, 36 seconds 154,268 views",8 months,"154,268"
9, ZipTrader ,Q76bFUvxG6g,https://www.youtube.com/watch?v=Q76bFUvxG6g,7 Top Penny Stocks To Buy 🔥| May 2020,"7 Top Penny Stocks To Buy 🔥| May 2020 by ZipTrader 2 months ago 14 minutes 142,629 views",2 months,"142,629"
10, Perfect View of Market ,YRaQUBFhkx0,https://www.youtube.com/watch?v=YRaQUBFhkx0,4 Rs Penny Stock क्या Titan को पिछड़ देगा कौड़ियों के भाव में उठा लो आसानी से 20-30 गुना,"4 Rs Penny Stock क्या Titan को पिछड़ देगा कौड़ियों के भाव में उठा लो आसानी से 20-30 गुना by Perfect View of Market 2 months ago 9 minutes, 11 seconds 141,560 views",2 months,"141,560"
11, FinnovationZ.com ,npas9H_hHNM,https://www.youtube.com/watch?v=npas9H_hHNM,Penny Stocks का काला सच,"Penny Stocks का काला सच by FinnovationZ.com 5 months ago 10 minutes, 45 seconds 139,141 views",5 months,"139,141"
12, Anand Tech Room ,QXP06IZGy7g,https://www.youtube.com/watch?v=QXP06IZGy7g,Best 10 Penny Stocks for 2020 - Huge Future Potential - Multibagger penny shares,"Best 10 Penny Stocks for 2020 - Huge Future Potential - Multibagger penny shares by Anand Tech Room 2 months ago 11 minutes, 30 seconds 134,408 views",2 months,"134,408"
13, ProCapital.MohdFaiz ,c7vwT_hK4D0,https://www.youtube.com/watch?v=c7vwT_hK4D0,10 PENNY शेयर्स | सट्टेबाज़ों ने करोड़ों बनाये | Penny Shares To Buy 2020 India |  Penny Stocks 2020,"10 PENNY शेयर्स | सट्टेबाज़ों ने करोड़ों बनाये | Penny Shares To Buy 2020 India |  Penny Stocks 2020 by ProCapital.MohdFaiz 3 weeks ago 12 minutes, 38 seconds 122,945 views",3 weeks,"122,945"
14," Let's Talk Money! with Joseph Hogue, CFA ",2m7pOLvDrKE,https://www.youtube.com/watch?v=2m7pOLvDrKE,3 Top Penny Stocks to Make You a Millionaire in 2020,"3 Top Penny Stocks to Make You a Millionaire in 2020 by Let's Talk Money! with Joseph Hogue, CFA 6 months ago 9 minutes, 24 seconds 122,386 views",6 months,"122,386"
15, ProCapital.MohdFaiz ,0wZW-hKOvu4,https://www.youtube.com/watch?v=0wZW-hKOvu4,भाव मात्र 07 रुपया | Penny Shares To Buy 2020 | CHEAP STOCKS TO BUY | SOUTH INDIAN BANK Share Price,"भाव मात्र 07 रुपया | Penny Shares To Buy 2020 | CHEAP STOCKS TO BUY | SOUTH INDIAN BANK Share Price by ProCapital.MohdFaiz 2 weeks ago 9 minutes, 52 seconds 121,782 views",2 weeks,"121,782"
16, ZipTrader ,WH5_yEwXC5s,https://www.youtube.com/watch?v=WH5_yEwXC5s,6 Top Penny Stocks To Buy🚀| April 2020,"6 Top Penny Stocks To Buy🚀| April 2020 by ZipTrader 3 months ago 15 minutes 120,097 views",3 months,"120,097"
17, Stock Market का Commando ,kEXNMsmOoMo,https://www.youtube.com/watch?v=kEXNMsmOoMo,This Stock will be Next Alok Industry ? 🔥अगला Alok Industry ?⚫ Multibagger Penny Stock for beginners,"This Stock will be Next Alok Industry ? 🔥अगला Alok Industry ?⚫ Multibagger Penny Stock for beginners by Stock Market का Commando 1 week ago 14 minutes, 33 seconds 118,248 views",1 week,"118,248"
18, Humbled Trader ,tff0PS0zcig,https://www.youtube.com/watch?v=tff0PS0zcig,How to Grow a Small Account Day Trading? Penny Stocks NOT the only way for Beginner Traders!,"How to Grow a Small Account Day Trading? Penny Stocks NOT the only way for Beginner Traders! by Humbled Trader 8 months ago 12 minutes, 26 seconds 116,015 views",8 months,"116,015"
19, Perfect View of Market ,9IVKmZt4dXQ,https://www.youtube.com/watch?v=9IVKmZt4dXQ,Rakesh Jhunjhunwala Penny Stocks April 2020 | Multibagger Stock Portfolio of Rakesh Jhunjhunwala,"Rakesh Jhunjhunwala Penny Stocks April 2020 | Multibagger Stock Portfolio of Rakesh Jhunjhunwala by Perfect View of Market 2 months ago 8 minutes, 6 seconds 114,218 views",2 months,"114,218"
20, Guide to Investing ,Dp8wNMb0-JE,https://www.youtube.com/watch?v=Dp8wNMb0-JE,TOP 3 Penny Stocks In Rakesh Jhunjhunwala's PORTFOLIO || By Guide To Investing ||,"TOP 3 Penny Stocks In Rakesh Jhunjhunwala's PORTFOLIO || By Guide To Investing || by Guide to Investing 2 months ago 13 minutes, 18 seconds 113,393 views",2 months,"113,393"
21, Fantastic Nifty ,6WUXOhlDass,https://www.youtube.com/watch?v=6WUXOhlDass,3 Penny shares who are making products for covid | best penny stocks 2020 | penny stocks to buy now,"3 Penny shares who are making products for covid | best penny stocks 2020 | penny stocks to buy now by Fantastic Nifty 2 weeks ago 10 minutes, 13 seconds 101,612 views",2 weeks,"101,612"
22, Fantastic Nifty ,sK7n-6PoajQ,https://www.youtube.com/watch?v=sK7n-6PoajQ,Best stocks to buy below 20 rupees |multibagger penny stocks for long term |share market latest news,"Best stocks to buy below 20 rupees |multibagger penny stocks for long term |share market latest news by Fantastic Nifty 3 months ago 10 minutes, 4 seconds 98,010 views",3 months,"98,010"
23, EduMcStark ,pn2lXPcT_sU,https://www.youtube.com/watch?v=pn2lXPcT_sU,Best Penny stocks 2020 | Penny stocks 2020 | Debt free penny stocks in india 2020 | top penny stocks,"Best Penny stocks 2020 | Penny stocks 2020 | Debt free penny stocks in india 2020 | top penny stocks by EduMcStark 3 weeks ago 7 minutes, 24 seconds 95,970 views",3 weeks,"95,970"
