,youtuber,vedio_id,link,vedio_title,description,post_time,views
0, NaNa说美股 ,BsdlYl5mbuo,https://www.youtube.com/watch?v=BsdlYl5mbuo,原油抄底：期货 ETF 能源个股，选择哪个好？NaNa说美股(2020.03.29),"原油抄底：期货 ETF 能源个股，选择哪个好？NaNa说美股(2020.03.29) by NaNa说美股 3 months ago 13 minutes, 36 seconds 127,814 views",3 months,"127,814"
1, 老汤美股财经 ,EIWV55KBpsc,https://www.youtube.com/watch?v=EIWV55KBpsc,4月值得关注的2支股票!【 美股分析】详细个股分析！（字幕请点CC）,"4月值得关注的2支股票!【 美股分析】详细个股分析！（字幕请点CC） by 老汤美股财经 3 months ago 10 minutes, 28 seconds 96,672 views",3 months,"96,672"
2, C&K GO! ,raY-kDJKCeM,https://www.youtube.com/watch?v=raY-kDJKCeM,哪3支個股30%漲幅潛能?!|6月投資的風險&機遇|CK財富自由股息投資EP30,"哪3支個股30%漲幅潛能?!|6月投資的風險&機遇|CK財富自由股息投資EP30 by C&K GO! 1 month ago 8 minutes, 13 seconds 39,869 views",1 month,"39,869"
3, 陈剑老师投资教育频道 ,9s5ENwezblM,https://www.youtube.com/watch?v=9s5ENwezblM,"价值投资大师们怎样抄底？""个股底部""和""大市底部""有什么不同？","价值投资大师们怎样抄底？""个股底部""和""大市底部""有什么不同？ by 陈剑老师投资教育频道 2 months ago 39 minutes 39,010 views",2 months,"39,010"
4, 视野环球财经 ,3_v51PImPks,https://www.youtube.com/watch?v=3_v51PImPks,美股分析 下周行情如何走？策略分享！特殊时期，个股与指数应该如何取舍？疫情卷土重来，停发H 1B、L1签证！，科技公司受挫！,"美股分析 下周行情如何走？策略分享！特殊时期，个股与指数应该如何取舍？疫情卷土重来，停发H 1B、L1签证！，科技公司受挫！ by 视野环球财经 2 weeks ago 23 minutes 33,382 views",2 weeks,"33,382"
5, 贝奇说股Beckie Analysis ,5FGJP5CGVwA,https://www.youtube.com/watch?v=5FGJP5CGVwA,美股实盘操作 | REIT 类个股MFA盘中狂涨40%！ 富途Moomoo 实盘示范根据量比找买点！（点CC有字幕）,"美股实盘操作 | REIT 类个股MFA盘中狂涨40%！ 富途Moomoo 实盘示范根据量比找买点！（点CC有字幕） by 贝奇说股Beckie Analysis 1 month ago 11 minutes, 43 seconds 31,160 views",1 month,"31,160"
6, VI 频道 ,UU987h2u1-k,https://www.youtube.com/watch?v=UU987h2u1-k,【百股經#40】CMCO结束了！大马哪些个股会受惠！？,"【百股經#40】CMCO结束了！大马哪些个股会受惠！？ by VI 频道 2 weeks ago 15 minutes 31,109 views",2 weeks,"31,109"
7, 贝拉聊财金 ,oUbfTzDwosM,https://www.youtube.com/watch?v=oUbfTzDwosM,第七十四期：Robinhood TOP 5 个股分析： 福特汽车 F 通用电气GE  迪士尼DIS  美国航空AAL 达美航空DAL,"第七十四期：Robinhood TOP 5 个股分析： 福特汽车 F 通用电气GE  迪士尼DIS  美国航空AAL 达美航空DAL by 贝拉聊财金 2 weeks ago 18 minutes 20,277 views",2 weeks,"20,277"
8, 贝奇说股Beckie Analysis ,MKMBxKeKEzw,https://www.youtube.com/watch?v=MKMBxKeKEzw,美股分析|个股分析|PCG太平洋煤气电力为什么这么妖？ 未来还值得投资吗？,"美股分析|个股分析|PCG太平洋煤气电力为什么这么妖？ 未来还值得投资吗？ by 贝奇说股Beckie Analysis 6 months ago 9 minutes, 17 seconds 9,370 views",6 months,"9,370"
9, 刘翔的投资频道 ,6n15Hd7Mujo,https://www.youtube.com/watch?v=6n15Hd7Mujo,做股票，應該看重個股，還是應該看重大盤指數？哪個更重要？,"做股票，應該看重個股，還是應該看重大盤指數？哪個更重要？ by 刘翔的投资频道 6 months ago 8 minutes, 59 seconds 9,235 views",6 months,"9,235"
10, 阳光财经 ,2NZXzyzUh8k,https://www.youtube.com/watch?v=2NZXzyzUh8k,美股分析，个股点评：疫情下5大必买疫苗概念股（TOP 5），想知道排名第一的是哪只个股，排名的逻辑又是什么呢？欢迎一起进来学习美股，探讨如何从市场获利？你知道疫苗的市场有多大吗？这对股票有什么支撑？,"美股分析，个股点评：疫情下5大必买疫苗概念股（TOP 5），想知道排名第一的是哪只个股，排名的逻辑又是什么呢？欢迎一起进来学习美股，探讨如何从市场获利？你知道疫苗的市场有多大吗？这对股票有什么支撑？ by 阳光财经 1 month ago 7 minutes, 33 seconds 7,234 views",1 month,"7,234"
11, 贝奇说股Beckie Analysis ,SqXHoNMJmhg,https://www.youtube.com/watch?v=SqXHoNMJmhg,降息信号释放， 美股再冲新高！利空冲击大麻， 个股大跌无一幸免！20190712,"降息信号释放， 美股再冲新高！利空冲击大麻， 个股大跌无一幸免！20190712 by 贝奇说股Beckie Analysis 11 months ago 18 minutes 6,498 views",11 months,"6,498"
12, 美股赢家 ,ubBC_MorfLs,https://www.youtube.com/watch?v=ubBC_MorfLs,教你轻松抓住个股起涨点,"教你轻松抓住个股起涨点 by 美股赢家 3 days ago 9 minutes, 31 seconds 5,417 views",3 days,"5,417"
13, 船老大美股日志 ,L5pMlwlJ4ds,https://www.youtube.com/watch?v=L5pMlwlJ4ds,如何避免两边打脸？盘中异动信号、重点个股如FAANG和银行等走势，以及明天标普月线收盘的敏感位置。,"如何避免两边打脸？盘中异动信号、重点个股如FAANG和银行等走势，以及明天标普月线收盘的敏感位置。 by 船老大美股日志 1 month ago 16 minutes 4,532 views",1 month,"4,532"
14, 澳财网 ,9qNV4PJ2Jcs,https://www.youtube.com/watch?v=9qNV4PJ2Jcs,互动：网友提问的这三只个股，高松谕回应了｜澳财有道Q&A,"互动：网友提问的这三只个股，高松谕回应了｜澳财有道Q&A by 澳财网 1 month ago 13 minutes, 51 seconds 4,014 views",1 month,"4,014"
15, Better Women ,OEZ8yrUImvg,https://www.youtube.com/watch?v=OEZ8yrUImvg,今日聊聊个股：拼多多PDD，雷神RTX，还有怨念的UBX,"今日聊聊个股：拼多多PDD，雷神RTX，还有怨念的UBX by Better Women 1 month ago 16 minutes 4,011 views",1 month,"4,011"
16, 贝拉聊财金 ,rIPDaWEwqBI,https://www.youtube.com/watch?v=rIPDaWEwqBI,第二十六期：【个股点评】迪士尼（DIS），便宜货 or 烫手山芋 or 值得一世珍藏！,"第二十六期：【个股点评】迪士尼（DIS），便宜货 or 烫手山芋 or 值得一世珍藏！ by 贝拉聊财金 2 months ago 6 minutes, 51 seconds 3,632 views",2 months,"3,632"
17, 尹星知識管理學院 ,owmLbdis_sM,https://www.youtube.com/watch?v=owmLbdis_sM,個股期貨是什麼?為什麼明年投資人必學?【日曜日老鄭股市時間EP.5】,"個股期貨是什麼?為什麼明年投資人必學?【日曜日老鄭股市時間EP.5】 by 尹星知識管理學院 6 months ago 12 minutes, 46 seconds 3,254 views",6 months,"3,254"
18, 船老大美股日志 ,LVOWFzYlE-s,https://www.youtube.com/watch?v=LVOWFzYlE-s,个股大幅上涨之后，很多群友又开始迷惘，不知道买什么。本期详细讲了几个热点板块及龙头股如FAANG、科技题材股、金融、大麻、中概、消费龙头股、奢侈品等,"个股大幅上涨之后，很多群友又开始迷惘，不知道买什么。本期详细讲了几个热点板块及龙头股如FAANG、科技题材股、金融、大麻、中概、消费龙头股、奢侈品等 by 船老大美股日志 10 months ago 19 minutes 2,967 views",10 months,"2,967"
19, 天亮技术分析 ,ax8Gc_gv3bU,https://www.youtube.com/watch?v=ax8Gc_gv3bU,"美股分析指数高开高走,哪些个股大资金已经解套,寻找获利了结的信号","美股分析指数高开高走,哪些个股大资金已经解套,寻找获利了结的信号 by 天亮技术分析 1 month ago 21 minutes 2,797 views",1 month,"2,797"
20, 船老大美股日志 ,uSREgXS395o,https://www.youtube.com/watch?v=uSREgXS395o,1）高盛/大摩财报点评。2）今日强势板块及个股：金融服务、酒店、博彩、消费龙头、电商和云概念。3）热点个股特斯拉、人造肉、大麻跟踪。4）大盘走势分析。,"1）高盛/大摩财报点评。2）今日强势板块及个股：金融服务、酒店、博彩、消费龙头、电商和云概念。3）热点个股特斯拉、人造肉、大麻跟踪。4）大盘走势分析。 by 船老大美股日志 5 months ago 25 minutes 2,781 views",5 months,"2,781"
21, 船老大美股日志 ,BjqNUeviIXs,https://www.youtube.com/watch?v=BjqNUeviIXs,热门个股财报点评及技术走势分析包括推特TWTR、特斯拉TSLA、亚马逊AMZN、医疗设备ALGN及ILMN、微软MSFT，以及中概拼多多PDD等,"热门个股财报点评及技术走势分析包括推特TWTR、特斯拉TSLA、亚马逊AMZN、医疗设备ALGN及ILMN、微软MSFT，以及中概拼多多PDD等 by 船老大美股日志 8 months ago 21 minutes 2,619 views",8 months,"2,619"
22, 船老大美股日志 ,--y-gH0SORU,https://www.youtube.com/watch?v=--y-gH0SORU,热门个股AMZN、GOOGL、NFLX以及明天盘后公布业绩的AAPL和FB走势。波音BA现状及股价技术走势。今日领涨品种依然是医疗板块。,"热门个股AMZN、GOOGL、NFLX以及明天盘后公布业绩的AAPL和FB走势。波音BA现状及股价技术走势。今日领涨品种依然是医疗板块。 by 船老大美股日志 8 months ago 17 minutes 2,554 views",8 months,"2,554"
23, 船老大美股日志 ,JiZdOQfQesM,https://www.youtube.com/watch?v=JiZdOQfQesM,股指高位小幅震荡等待Powell听证及下周财报； -个股精彩纷呈：AMZN、SQ、次新股BYND、LYFT、UBER等点评。 - 国会明天进行大麻法律修订辩论。,"股指高位小幅震荡等待Powell听证及下周财报； -个股精彩纷呈：AMZN、SQ、次新股BYND、LYFT、UBER等点评。 - 国会明天进行大麻法律修订辩论。 by 船老大美股日志 11 months ago 15 minutes 2,234 views",11 months,"2,234"
24, 股市狙击队 ,bofRnw3GYdM,https://www.youtube.com/watch?v=bofRnw3GYdM,股市狙击队-《个股分享》之 MYEG 到底可以不可以买哟？？？（以上分享纯属个人看法，买卖自负）,"股市狙击队-《个股分享》之 MYEG 到底可以不可以买哟？？？（以上分享纯属个人看法，买卖自负） by 股市狙击队 5 months ago 9 minutes, 8 seconds 2,098 views",5 months,"2,098"
