,youtuber,vedio_id,link,vedio_title,description,post_time,views
0, 小楠 Curtis 的投資成長空間 ,-Xzv7ker_Vo,https://www.youtube.com/watch?v=-Xzv7ker_Vo,"3支冷門潛力大牛股 | 下波股崩機不可失! 冷門美股 ISRG, OKTA, SHOP","3支冷門潛力大牛股 | 下波股崩機不可失! 冷門美股 ISRG, OKTA, SHOP by 小楠 Curtis 的投資成長空間 1 month ago 18 minutes 91,767 views",1 month,"91,767"
1, 刘翔的投资频道 ,ZSno1FJiLIk,https://www.youtube.com/watch?v=ZSno1FJiLIk,怎样抓住10倍大牛股？投资大师费雪的成长股投资秘诀是什么？,"怎样抓住10倍大牛股？投资大师费雪的成长股投资秘诀是什么？ by 刘翔的投资频道 4 months ago 14 minutes, 29 seconds 77,271 views",4 months,"77,271"
2, 贝拉聊财金 ,MdDo8bqXKLs,https://www.youtube.com/watch?v=MdDo8bqXKLs,第六十八期：安全牛股 + 安全的板块， 价值洼地在哪里？Reits 热门股解读。劳工统计局承认统计错误，下周预测 ，操作思路！,"第六十八期：安全牛股 + 安全的板块， 价值洼地在哪里？Reits 热门股解读。劳工统计局承认统计错误，下周预测 ，操作思路！ by 贝拉聊财金 4 weeks ago 18 minutes 36,576 views",4 weeks,"36,576"
3, 股海的諾亞方舟 ,JNE-ANWmcVo,https://www.youtube.com/watch?v=JNE-ANWmcVo,大牛股鴻海(2317)翻身，賺股利也賺價差獲利20%！(請開啟CC字幕) #股票 #賺錢,"大牛股鴻海(2317)翻身，賺股利也賺價差獲利20%！(請開啟CC字幕) #股票 #賺錢 by 股海的諾亞方舟 1 month ago 7 minutes 7,145 views",1 month,"7,145"
4, 理财人生 ,3I6F4J1WwoU,https://www.youtube.com/watch?v=3I6F4J1WwoU,疯牛股特斯拉行情还能走多远？美股未来会走出失败的五浪吗？ 2020.02.07,"疯牛股特斯拉行情还能走多远？美股未来会走出失败的五浪吗？ 2020.02.07 by 理财人生 4 months ago 33 minutes 6,498 views",4 months,"6,498"
5, 船老大美股日志 ,lwUlI_ajRWQ,https://www.youtube.com/watch?v=lwUlI_ajRWQ,应群友要求再议几只疯牛股：假肉BYND、特斯拉TSLA、大麻CGC等 。银行股JPM、WFC财报点评。明日大盘走向。今日表现强势的几只巴菲特概念股。,"应群友要求再议几只疯牛股：假肉BYND、特斯拉TSLA、大麻CGC等 。银行股JPM、WFC财报点评。明日大盘走向。今日表现强势的几只巴菲特概念股。 by 船老大美股日志 5 months ago 27 minutes 4,502 views",5 months,"4,502"
6, Smart智富月刊 ,Br6JsMCAmBE,https://www.youtube.com/watch?v=Br6JsMCAmBE,大牛股鴻海3天飆漲逾6%，未來仍有續漲空間嗎？｜楊忠憲，郁青｜投資青鬆賺,"大牛股鴻海3天飆漲逾6%，未來仍有續漲空間嗎？｜楊忠憲，郁青｜投資青鬆賺 by Smart智富月刊 1 week ago 30 minutes 4,151 views",1 week,"4,151"
7, 非凡 股市現場 ,y8HdlriZTvI,https://www.youtube.com/watch?v=y8HdlriZTvI,【汽車大牛股奔漲 法人作帳推一把!擺脫疫情干擾 下半年誰有機會?2020神奇公式前30名 黑馬中的黑馬?】20200612(第8/8段)股市現場*鄭明娟(戴興明×鄒蘇生×孫慶龍),"【汽車大牛股奔漲 法人作帳推一把!擺脫疫情干擾 下半年誰有機會?2020神奇公式前30名 黑馬中的黑馬?】20200612(第8/8段)股市現場*鄭明娟(戴興明×鄒蘇生×孫慶龍) by 非凡 股市現場 3 weeks ago 12 minutes, 10 seconds 3,088 views",3 weeks,"3,088"
8, A股吧-雷班長 ,FUS3d9yxJZk,https://www.youtube.com/watch?v=FUS3d9yxJZk,2020年03月05 A股，H量出牛股！,"2020年03月05 A股，H量出牛股！ by A股吧-雷班長 4 months ago 11 minutes, 3 seconds 2,765 views",4 months,"2,765"
9, 股票致富陳Sir ,eJAt8V4f4KI,https://www.youtube.com/watch?v=eJAt8V4f4KI,牛股集訓營：主力洗倉模型  ｜#回調買點｜#莊家｜#散戶｜#新老手必看｜#港股｜#轉勢｜#頂底預測｜#時間週期｜#股票教學｜#投資技巧｜#股票致富陳Sir,"牛股集訓營：主力洗倉模型  ｜#回調買點｜#莊家｜#散戶｜#新老手必看｜#港股｜#轉勢｜#頂底預測｜#時間週期｜#股票教學｜#投資技巧｜#股票致富陳Sir by 股票致富陳Sir 1 week ago 2 hours, 4 minutes 2,608 views",1 week,"2,608"
10, 美股之美 ,buPGEcn85Cs,https://www.youtube.com/watch?v=buPGEcn85Cs,31  有机会翻十倍的大牛股， 流音乐的独角兽，SPOT,"31  有机会翻十倍的大牛股， 流音乐的独角兽，SPOT by 美股之美 3 weeks ago 23 minutes 2,215 views",3 weeks,"2,215"
