,youtuber,vedio_id,link,vedio_title,description,post_time,views
0, Joeman ,VQL_fNLKrFU,https://www.youtube.com/watch?v=VQL_fNLKrFU,【Joeman】我如何靠著股票賺到人生第一個1000萬？致富過程大公開！,"【Joeman】我如何靠著股票賺到人生第一個1000萬？致富過程大公開！ by Joeman 2 months ago 11 minutes, 36 seconds 1,164,922 views",2 months,"164,922"
1, 李永乐老师 ,GWi_4eeDdeU,https://www.youtube.com/watch?v=GWi_4eeDdeU,美股一周两次熔断！中美股民谁更赚钱？股票指数是什么？,"美股一周两次熔断！中美股民谁更赚钱？股票指数是什么？ by 李永乐老师 3 months ago 24 minutes 957,331 views",3 months,"957,331"
2, 柴鼠兄弟 ZRBros ,ChuJJYdQw_s,https://www.youtube.com/watch?v=ChuJJYdQw_s,2020年金融存股決選(含銀行&保險) 股票現金殖利率再加抗跌指標總整理! | 夯翻鼠FQ54 股票投資,"2020年金融存股決選(含銀行&保險) 股票現金殖利率再加抗跌指標總整理! | 夯翻鼠FQ54 股票投資 by 柴鼠兄弟 ZRBros 5 months ago 11 minutes, 46 seconds 404,907 views",5 months,"404,907"
3, 哇萨比抓马 WasabiDrama ,fCbc5_JLCJA,https://www.youtube.com/watch?v=fCbc5_JLCJA,還想著抄底股票市場？看完這部電影嚇到我不敢投資 |哇薩比抓馬Wasabi Drama,"還想著抄底股票市場？看完這部電影嚇到我不敢投資 |哇薩比抓馬Wasabi Drama by 哇萨比抓马 WasabiDrama 3 months ago 23 minutes 389,379 views",3 months,"389,379"
4, 超績投資客J Law ,2gN-aqv1jrg,https://www.youtube.com/watch?v=2gN-aqv1jrg,股票暴賺就要選對最佳買股時機｜15分鐘學懂｜股票教學｜超績投資客 J Law,"股票暴賺就要選對最佳買股時機｜15分鐘學懂｜股票教學｜超績投資客 J Law by 超績投資客J Law 4 months ago 14 minutes, 52 seconds 387,633 views",4 months,"387,633"
5, 東風衛視 ,iokEU8e05gI,https://www.youtube.com/watch?v=iokEU8e05gI,【完整版】2020年最欠買的股票？哪些股票能養你一輩子？ 20200107（億元教授鄭廳宜、價值投資達人畢卡胡、陳唯泰、賴憲政）,"【完整版】2020年最欠買的股票？哪些股票能養你一輩子？ 20200107（億元教授鄭廳宜、價值投資達人畢卡胡、陳唯泰、賴憲政） by 東風衛視 5 months ago 46 minutes 384,274 views",5 months,"384,274"
6, 窮奢極欲 ,TK4xQSfGcLE,https://www.youtube.com/watch?v=TK4xQSfGcLE,全球唯一靠買股票成為首富的人，股神是如何成為股神的？,"全球唯一靠買股票成為首富的人，股神是如何成為股神的？ by 窮奢極欲 7 months ago 12 minutes, 58 seconds 365,977 views",7 months,"365,977"
7, Allengoaround 艾倫哥哥 ,O9WY4Frsza4,https://www.youtube.com/watch?v=O9WY4Frsza4,賺很大! 公開過去3年股票投資收入!? 每年投資爽賺7位數! 投資前請先認識自己對風險的接受度! #關於錢的事 EP.2,"賺很大! 公開過去3年股票投資收入!? 每年投資爽賺7位數! 投資前請先認識自己對風險的接受度! #關於錢的事 EP.2 by Allengoaround 艾倫哥哥 8 months ago 10 minutes, 34 seconds 362,145 views",8 months,"362,145"
8, Better Trading ,FhNH6O-jnOU,https://www.youtube.com/watch?v=FhNH6O-jnOU,如何用數學破解股票市場？公開1年內賺120億的方法,"如何用數學破解股票市場？公開1年內賺120億的方法 by Better Trading 8 months ago 20 minutes 352,157 views",8 months,"352,157"
9, 王弟讲电影 ,ZWzJULZW6EY,https://www.youtube.com/watch?v=ZWzJULZW6EY,黑客为求刺激，把股票走势图黑成竖中指，解说员当时都懵了！,"黑客为求刺激，把股票走势图黑成竖中指，解说员当时都懵了！ by 王弟讲电影 2 months ago 9 minutes, 53 seconds 297,996 views",2 months,"297,996"
10, 柴鼠兄弟 ZRBros ,KfZ7zAv3BFs,https://www.youtube.com/watch?v=KfZ7zAv3BFs,買股票參加除息哪一天才可以賣？股利怎麼領？這句話秒記住 | 夯翻鼠 FQ&A2 股票投資,"買股票參加除息哪一天才可以賣？股利怎麼領？這句話秒記住 | 夯翻鼠 FQ&A2 股票投資 by 柴鼠兄弟 ZRBros 11 months ago 2 minutes, 57 seconds 280,489 views",11 months,"280,489"
11, 回形针PaperClip ,_f0VoxypcCo,https://www.youtube.com/watch?v=_f0VoxypcCo,Vol.093 为什么你炒股总是亏钱？,"Vol.093 为什么你炒股总是亏钱？ by 回形针PaperClip 9 months ago 7 minutes, 1 second 241,994 views",9 months,"241,994"
12, Better Leaf 好葉 ,ZN5aiNjcvEQ,https://www.youtube.com/watch?v=ZN5aiNjcvEQ,這十隻股票，讓我一年爽賺30%的 | 好葉投資組合大公開,"這十隻股票，讓我一年爽賺30%的 | 好葉投資組合大公開 by Better Leaf 好葉 6 months ago 11 minutes, 5 seconds 235,759 views",6 months,"235,759"
13, 柴鼠兄弟 ZRBros ,D8RiX2gLSpc,https://www.youtube.com/watch?v=D8RiX2gLSpc,股票貼牆上～玉山金配現金又配股票 這樣除息要扣多少？ | 夯翻鼠FQ&A4,"股票貼牆上～玉山金配現金又配股票 這樣除息要扣多少？ | 夯翻鼠FQ&A4 by 柴鼠兄弟 ZRBros 11 months ago 4 minutes, 18 seconds 235,297 views",11 months,"235,297"
14, JY Chen ,Jq6pxPTmiRU,https://www.youtube.com/watch?v=Jq6pxPTmiRU,#賺錢 #股票 買20元以下股票，價差股利兩頭賺#2 JY說股市,"#賺錢 #股票 買20元以下股票，價差股利兩頭賺#2 JY說股市 by JY Chen 5 months ago 15 minutes 226,168 views",5 months,"226,168"
15, 超績投資客J Law ,qBAcdEshRX8,https://www.youtube.com/watch?v=qBAcdEshRX8,買中超強勢股票的3個交易技巧｜如何能快速獲利？｜VCP股價形態｜Volatility Contraction Pattern｜股票教學｜超績投資客 J Law,"買中超強勢股票的3個交易技巧｜如何能快速獲利？｜VCP股價形態｜Volatility Contraction Pattern｜股票教學｜超績投資客 J Law by 超績投資客J Law 4 months ago 16 minutes 214,413 views",4 months,"214,413"
16, 小楠 Curtis 的投資成長空間 ,iTYiRuK1XT4,https://www.youtube.com/watch?v=iTYiRuK1XT4,未來5年最強美股 | 3支有100%回報潛力的股票 (點CC看字幕),"未來5年最強美股 | 3支有100%回報潛力的股票 (點CC看字幕) by 小楠 Curtis 的投資成長空間 7 months ago 11 minutes, 39 seconds 203,436 views",7 months,"203,436"
17, JY Chen ,REi5cAxybdg,https://www.youtube.com/watch?v=REi5cAxybdg,#賺錢 #股票 #殖利率 2月該買進的高殖利率 3支30-50元股票  #4 JY說股市,"#賺錢 #股票 #殖利率 2月該買進的高殖利率 3支30-50元股票  #4 JY說股市 by JY Chen 4 months ago 12 minutes, 38 seconds 199,440 views",4 months,"199,440"
18, 中天新聞CH,x0PNQq92RSg,https://www.youtube.com/watch?v=x0PNQq92RSg,20200623中天新聞　6百萬股票變壁紙！　華映股東會爆發肢體衝突,"20200623中天新聞　6百萬股票變壁紙！　華映股東會爆發肢體衝突 by 中天新聞CH52 1 week ago 1 minute, 27 seconds 187,889 views",1 week,"187,889"
19, 柴鼠兄弟 ZRBros ,ambUkviNsKc,https://www.youtube.com/watch?v=ambUkviNsKc,2020年股票證券戶和銀行交割戶怎麼配最有利？高利活儲+交易折扣一起領 | 柴鼠兄弟,"2020年股票證券戶和銀行交割戶怎麼配最有利？高利活儲+交易折扣一起領 | 柴鼠兄弟 by 柴鼠兄弟 ZRBros 5 months ago 5 minutes, 33 seconds 180,911 views",5 months,"180,911"
20, 超績投資客J Law ,EtGMlNU21Wc,https://www.youtube.com/watch?v=EtGMlNU21Wc,30分鐘學會股票技術圖！可能連老手都不知道的圖表秘技｜K線圖輕易上手｜全職交易者如何設置參數｜股票教學｜股票入門｜超績投資客 J Law,"30分鐘學會股票技術圖！可能連老手都不知道的圖表秘技｜K線圖輕易上手｜全職交易者如何設置參數｜股票教學｜股票入門｜超績投資客 J Law by 超績投資客J Law 3 months ago 27 minutes 174,930 views",3 months,"174,930"
21, 王志郁Plus ,w55Cr7o70IM,https://www.youtube.com/watch?v=w55Cr7o70IM,"靠一檔股票年賺18% ""樂活大叔""分享看懂買賣點投資心法| 樂活大叔 施昇輝 |【理財志聊室】20191029｜王志郁Plus","靠一檔股票年賺18% ""樂活大叔""分享看懂買賣點投資心法| 樂活大叔 施昇輝 |【理財志聊室】20191029｜王志郁Plus by 王志郁Plus 8 months ago 22 minutes 174,022 views",8 months,"174,022"
22, 我要做富翁 ,zQbn46_iVCI,https://www.youtube.com/watch?v=zQbn46_iVCI,如何買股票一世收息：簡易解決的兩個盲點 【施傅教學 |#哲學 #理財 #紀律】#收益率 #股息增長 #穩定回報,"如何買股票一世收息：簡易解決的兩個盲點 【施傅教學 |#哲學 #理財 #紀律】#收益率 #股息增長 #穩定回報 by 我要做富翁 5 months ago 14 minutes, 35 seconds 168,141 views",5 months,"168,141"
23, 尹星知識管理學院 ,H0VDchHTl7c,https://www.youtube.com/watch?v=H0VDchHTl7c,買金融股等套牢！國師警告：千萬別買股票！｜台股國師史托克｜尹星知識管理學院,"買金融股等套牢！國師警告：千萬別買股票！｜台股國師史托克｜尹星知識管理學院 by 尹星知識管理學院 2 months ago 6 minutes, 30 seconds 154,926 views",2 months,"154,926"
24, 财经冷眼 ,F5tvciFLFaQ,https://www.youtube.com/watch?v=F5tvciFLFaQ,财经冷眼：全球金融市场崩盘，美元黄金股票人民币，2020年走势深度分析！（20200229第171期）,"财经冷眼：全球金融市场崩盘，美元黄金股票人民币，2020年走势深度分析！（20200229第171期） by 财经冷眼 4 months ago 21 minutes 151,533 views",4 months,"151,533"
25, 小楠 Curtis 的投資成長空間 ,xE7F7qKs9qU,https://www.youtube.com/watch?v=xE7F7qKs9qU,2020股市崩盤必買美股 | 4支在2020年必須注意的黃金股票! #谷歌#微軟#Nvidia#開拓重工  (點CC看字幕),"2020股市崩盤必買美股 | 4支在2020年必須注意的黃金股票! #谷歌#微軟#Nvidia#開拓重工  (點CC看字幕) by 小楠 Curtis 的投資成長空間 6 months ago 13 minutes, 50 seconds 143,463 views",6 months,"143,463"
26, 狼爸爸的工作室 ,DxtksavnPq0,https://www.youtube.com/watch?v=DxtksavnPq0,炒鞋经济学， 买鞋就像买股票，从‘鞋交所’到‘物交所’的未来趋势,"炒鞋经济学， 买鞋就像买股票，从‘鞋交所’到‘物交所’的未来趋势 by 狼爸爸的工作室 7 months ago 10 minutes, 36 seconds 142,472 views",7 months,"142,472"
27, 小楠 Curtis 的投資成長空間 ,Mu9ZNvrCtkA,https://www.youtube.com/watch?v=Mu9ZNvrCtkA,6月不可錯過的股票!! ｜3支我己經在投資的美股｜在股市不穩定中保護自己的資產 美股價值投資,"6月不可錯過的股票!! ｜3支我己經在投資的美股｜在股市不穩定中保護自己的資產 美股價值投資 by 小楠 Curtis 的投資成長空間 1 month ago 22 minutes 128,827 views",1 month,"128,827"
28, Spark Liang 张开亮 ,j6jjW7iwCoc,https://www.youtube.com/watch?v=j6jjW7iwCoc,這樣做2019年投資股票就賺了30%？公開我的投資組合 | Spark Liang 投資理財,"這樣做2019年投資股票就賺了30%？公開我的投資組合 | Spark Liang 投資理財 by Spark Liang 张开亮 10 months ago 17 minutes 127,611 views",10 months,"127,611"
29, BOS巴菲特線上學院 ,-wx-RlX-7fk,https://www.youtube.com/watch?v=-wx-RlX-7fk,【股票當沖】每天賺3000~6000元？股票當沖這麼好賺？不用本金就能賺錢有這麼好嗎?｜BOS巴菲特線上學院 Buffett Online School,"【股票當沖】每天賺3000~6000元？股票當沖這麼好賺？不用本金就能賺錢有這麼好嗎?｜BOS巴菲特線上學院 Buffett Online School by BOS巴菲特線上學院 8 months ago 5 minutes, 51 seconds 119,848 views",8 months,"119,848"
30, 超績投資客J Law ,efYTowQA414,https://www.youtube.com/watch?v=efYTowQA414,18分鐘看通股票基本分析！很多人用錯虧大錢｜新手老手必看｜股票教學｜股票入門｜超績投資客 J Law,"18分鐘看通股票基本分析！很多人用錯虧大錢｜新手老手必看｜股票教學｜股票入門｜超績投資客 J Law by 超績投資客J Law 1 month ago 17 minutes 119,697 views",1 month,"119,697"
31, 柴鼠兄弟 ZRBros ,DtDiZYEZ5RI,https://www.youtube.com/watch?v=DtDiZYEZ5RI,自己的明牌自己選 超佛心免費股票快選APP一鍵篩選自動追蹤 | 柴鼠兄弟 投資,"自己的明牌自己選 超佛心免費股票快選APP一鍵篩選自動追蹤 | 柴鼠兄弟 投資 by 柴鼠兄弟 ZRBros 9 months ago 5 minutes, 8 seconds 115,679 views",9 months,"115,679"
